competition_id,competition_name,season_id,season_name,player_id,player_name,team_id,team_name,games_played,total_drives,direct_drives_count,blowby_count,dribble_through_count,end_type_kickout_count,end_type_turnover_count,end_type_pullout_count,end_type_pullup_count,end_type_interior_pass_count,end_type_stoppage_count,end_type_shot_near_basket_count,zone_mid_range_count,zone_corner_3_count,zone_above_break_3_count,direction_left_count,direction_right_count,category_iso_count,category_off_ball_screen_count,category_pick_count,category_handoff_count,category_closeout_count,category_miscellaneous_count,points,made_baskets,assists,potential_assists,fouls,successful_drives,unsuccessful_drives,field_points_in_drive,fga_in_drive,ft_attempts_in_drive,ft_mades_in_drive,blowby_rate,dribble_through_rate,end_type_kickout_rate,end_type_turnover_rate,end_type_pullout_rate,end_type_pullup_rate,end_type_interior_pass_rate,end_type_stoppage_rate,end_type_shot_near_basket_rate,zone_mid_range_rate,zone_corner_3_rate,zone_above_break_3_rate,direction_left_rate,direction_right_rate,category_iso_rate,category_off_ball_screen_rate,category_pick_rate,category_handoff_rate,category_closeout_rate,category_miscellaneous_rate,points_per_drive,made_baskets_rate,assists_rate,potential_assists_rate,fouls_rate,successful_drives_rate,unsuccessful_drives_rate,points_per_shot_in_drive,possessions_played
8,Liga ACB,51,2025-2026,15369,Sir'Jabari Rice,1332,BC MoraBanc Andorra,11,87,74,34,0,25,2,0,10,12,1,37,7,4,49,41,46,8,1,54,7,9,8,57,19,8,5,12,52,25,38,37,17,14,0.39080459770114945,0.0,0.28735632183908044,0.022988505747126436,0.0,0.11494252873563218,0.13793103448275862,0.011494252873563218,0.42528735632183906,0.08045977011494253,0.04597701149425287,0.5632183908045977,0.47126436781609193,0.5287356321839081,0.09195402298850575,0.011494252873563218,0.6206896551724138,0.08045977011494253,0.10344827586206896,0.09195402298850575,0.6551724137931034,0.21839080459770116,0.09195402298850575,0.05747126436781609,0.13793103448275862,0.5977011494252874,0.28735632183908044,1.169064748201439,559
8,Liga ACB,51,2025-2026,15394,David Dejulius,1334,CB UCAM Murcia,31,288,231,39,6,71,5,0,81,17,12,102,20,1,163,135,153,62,3,152,19,21,31,202,82,15,5,34,144,93,164,164,48,35,0.13541666666666666,0.020833333333333332,0.2465277777777778,0.017361111111111112,0.0,0.28125,0.059027777777777776,0.041666666666666664,0.3541666666666667,0.06944444444444445,0.003472222222222222,0.5659722222222222,0.46875,0.53125,0.2152777777777778,0.010416666666666666,0.5277777777777778,0.06597222222222222,0.07291666666666667,0.1076388888888889,0.7013888888888888,0.2847222222222222,0.052083333333333336,0.017361111111111112,0.11805555555555555,0.5,0.3229166666666667,1.0749783923941227,1518
8,Liga ACB,51,2025-2026,15452,Chase Audige,1339,Malaga,24,65,51,14,0,17,3,1,8,12,1,23,8,3,40,27,38,7,4,23,11,13,7,47,15,9,3,4,37,18,30,29,5,1,0.2153846153846154,0.0,0.26153846153846155,0.046153846153846156,0.015384615384615385,0.12307692307692308,0.18461538461538463,0.015384615384615385,0.35384615384615387,0.12307692307692308,0.046153846153846156,0.6153846153846154,0.4153846153846154,0.5846153846153846,0.1076923076923077,0.06153846153846154,0.35384615384615387,0.16923076923076924,0.2,0.1076923076923077,0.7230769230769231,0.23076923076923078,0.13846153846153847,0.046153846153846156,0.06153846153846154,0.5692307692307692,0.27692307692307694,0.9935897435897436,663
8,Liga ACB,51,2025-2026,15487,Omari Moore,1325,Valencia BC,28,227,165,42,0,86,8,2,12,31,5,83,14,6,137,105,122,43,5,120,10,23,26,139,44,19,9,26,105,47,88,79,36,28,0.18502202643171806,0.0,0.3788546255506608,0.03524229074889868,0.00881057268722467,0.05286343612334802,0.13656387665198239,0.022026431718061675,0.3656387665198238,0.06167400881057269,0.02643171806167401,0.6035242290748899,0.46255506607929514,0.5374449339207048,0.1894273127753304,0.022026431718061675,0.5286343612334802,0.04405286343612335,0.1013215859030837,0.1145374449339207,0.6123348017621145,0.19383259911894274,0.08370044052863436,0.039647577092511016,0.1145374449339207,0.46255506607929514,0.20704845814977973,1.2231126107127794,1055
8,Liga ACB,51,2025-2026,15565,Morris Udeze,1332,BC MoraBanc Andorra,20,8,8,1,0,0,1,0,0,0,0,7,5,0,2,3,5,4,0,0,0,0,4,8,4,0,0,1,5,3,8,6,2,2,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.875,0.625,0.0,0.25,0.375,0.625,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.125,0.625,0.375,1.4534883720930232,531
8,Liga ACB,51,2025-2026,15630,Kaodirichi Akobundu-Ehiogu,1330,BAXI Manresa,33,2,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,3,0,1,0,0,1,1,0,0,0,0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.5,0.0,0.0,0.5,0.5,,918
8,Liga ACB,51,2025-2026,15661,Xavier Castaneda,,total,13,63,44,17,1,23,3,0,14,4,4,15,5,0,36,26,37,10,2,39,4,3,5,24,5,4,0,9,30,23,10,23,14,11,0.2698412698412698,0.015873015873015872,0.36507936507936506,0.047619047619047616,0.0,0.2222222222222222,0.06349206349206349,0.06349206349206349,0.23809523809523808,0.07936507936507936,0.0,0.5714285714285714,0.4126984126984127,0.5873015873015873,0.15873015873015872,0.031746031746031744,0.6190476190476191,0.06349206349206349,0.047619047619047616,0.07936507936507936,0.38095238095238093,0.07936507936507936,0.06349206349206349,0.0,0.14285714285714285,0.47619047619047616,0.36507936507936506,0.7201646090534979,390
8,Liga ACB,51,2025-2026,15661,Xavier Castaneda,1332,BC MoraBanc Andorra,8,51,34,14,1,19,3,0,10,3,4,12,5,0,29,19,32,8,2,30,3,3,5,14,4,1,0,9,25,17,8,16,14,11,0.27450980392156865,0.0196078431372549,0.37254901960784315,0.058823529411764705,0.0,0.19607843137254902,0.058823529411764705,0.0784313725490196,0.23529411764705882,0.09803921568627451,0.0,0.5686274509803921,0.37254901960784315,0.6274509803921569,0.1568627450980392,0.0392156862745098,0.5882352941176471,0.058823529411764705,0.058823529411764705,0.09803921568627451,0.27450980392156865,0.0784313725490196,0.0196078431372549,0.0,0.17647058823529413,0.49019607843137253,0.3333333333333333,0.8574007220216606,289
8,Liga ACB,51,2025-2026,15661,Xavier Castaneda,1339,Malaga,5,12,10,3,0,4,0,0,4,1,0,3,0,0,7,7,5,2,0,9,1,0,0,10,1,3,0,0,5,6,2,7,0,0,0.25,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.08333333333333333,0.0,0.25,0.0,0.0,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.16666666666666666,0.0,0.75,0.08333333333333333,0.0,0.0,0.8333333333333334,0.08333333333333333,0.25,0.0,0.0,0.4166666666666667,0.5,0.2857142857142857,101
8,Liga ACB,51,2025-2026,15680,Miles Norris,1340,BC Barcelona,19,19,16,2,0,3,1,0,3,2,1,9,3,1,15,3,16,3,0,0,0,15,1,9,2,1,0,3,7,10,4,10,6,5,0.10526315789473684,0.0,0.15789473684210525,0.05263157894736842,0.0,0.15789473684210525,0.10526315789473684,0.05263157894736842,0.47368421052631576,0.15789473684210525,0.05263157894736842,0.7894736842105263,0.15789473684210525,0.8421052631578947,0.15789473684210525,0.0,0.0,0.0,0.7894736842105263,0.05263157894736842,0.47368421052631576,0.10526315789473684,0.05263157894736842,0.0,0.15789473684210525,0.3684210526315789,0.5263157894736842,0.7120253164556962,731
